PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,Mr. James Brown,male,32.5,1,0,583624,12.0356,nan,S
2,1,3,Mr. Charles Wilson,male,27.6,0,0,26905,4.6168,E46,S
3,1,2,Miss. Susan Jackson,female,17.0,0,0,40273,10.5803,nan,S
4,0,3,Miss. Linda Anderson,female,9.2,0,0,135191,3.1917,C85,S
5,0,1,Mr. George Moore,male,4.4,0,0,388080,284.0902,A6,C
6,0,2,Mr. James Brown,male,31.4,1,0,167306,2.7998,nan,S
7,0,3,Mr. John Smith,male,7.6,0,0,219957,6.0444,nan,S
8,1,1,Mr. William Davis,male,13.3,0,1,76538,2.199,nan,S
9,0,1,Mr. Charles Wilson,male,,0,1,114570,21.0626,nan,S
10,1,1,Mrs. Patricia Taylor,female,0.4,5,0,697933,127.3668,nan,S
11,0,1,Mr. George Moore,male,41.0,0,0,889771,18.8675,nan,Q
12,1,1,Miss. Mary Johnson,female,0.4,2,0,272025,7.0098,nan,S
13,1,3,Mr. George Moore,male,28.6,0,0,393276,8.3631,nan,S
14,0,2,Mr. Charles Wilson,male,29.9,0,1,205392,0.2004,nan,S
15,0,3,Miss. Linda Anderson,female,37.5,0,0,138993,1.1515,nan,S
16,0,3,Mr. Charles Wilson,male,29.1,0,0,807762,21.4281,D56,S
17,0,2,Mr. George Moore,male,59.0,0,1,233112,29.522,nan,S
18,0,2,Mr. George Moore,male,32.8,0,1,221588,49.3348,nan,S
19,0,2,Mrs. Barbara Thomas,female,45.0,1,0,868985,38.5537,F2,C
20,0,3,Mrs. Barbara Thomas,female,19.2,1,0,706713,14.9423,nan,S
21,0,2,Mr. Charles Wilson,male,,1,0,157083,1.075,nan,S
22,0,3,Mr. John Smith,male,52.1,0,0,93537,19.8531,F2,S
23,0,2,Mr. George Moore,male,26.3,0,2,595273,37.3526,nan,S
24,0,3,Mrs. Patricia Taylor,female,32.5,0,1,551332,20.8632,G6,C
25,0,2,Miss. Mary Johnson,female,,1,1,441508,14.205,nan,Q
26,1,2,Mr. John Smith,male,18.9,2,0,656592,5.3028,nan,S
27,0,3,Mr. John Smith,male,0.4,0,1,146322,24.264,C85,C
28,0,3,Mr. James Brown,male,,0,0,268116,16.8854,nan,C
29,0,1,Mrs. Barbara Thomas,female,44.0,0,0,819721,331.8693,nan,Q
30,0,3,Miss. Susan Jackson,female,10.1,0,0,43087,2.2001,E101,S
31,0,3,Mr. William Davis,male,39.4,0,0,85952,3.3248,E101,S
32,0,3,Mr. William Davis,male,39.5,0,0,756055,3.094,B78,S
33,0,3,Mr. George Moore,male,,1,0,46368,20.4466,nan,C
34,1,2,Mrs. Patricia Taylor,female,16.1,0,0,654936,4.1382,nan,S
35,1,1,Mr. William Davis,male,,0,0,867247,5.7948,nan,S
36,1,2,Miss. Mary Johnson,female,27.1,5,0,100693,130.8734,nan,S
37,0,3,Mr. William Davis,male,18.9,0,0,464256,0.3267,G6,S
38,0,3,Mr. George Moore,male,18.1,0,0,593188,23.4428,nan,S
39,1,2,Mr. John Smith,male,,0,1,811926,9.0942,nan,C
40,0,1,Mr. William Davis,male,28.1,0,0,388630,154.7893,nan,S
41,0,3,Mr. George Moore,male,19.6,0,0,710526,10.5148,nan,C
