PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,FamilySize,IsAlone,AgeGroup_Child,AgeGroup_Senior,AgeGroup_Teenager,AgeGroup_YoungAdult,FareBand_Low,FareBand_Medium,FareBand_VeryHigh,FamilyType_Small,FamilyType_Solo
1,0,3.0,Mr. James Brown,male,32.5,1.0,0.0,583624,12.0356,S,2.0,0,False,False,False,True,False,True,False,True,False
2,1,3.0,Mr. Charles Wilson,male,27.6,0.0,0.0,26905,4.6168,S,1.0,1,False,False,False,True,True,False,False,False,True
3,1,2.0,Miss. Susan Jackson,female,17.0,0.0,0.0,40273,10.5803,S,1.0,1,False,False,True,False,False,True,False,False,True
4,0,3.0,Miss. Linda Anderson,female,9.2,0.0,0.0,135191,3.1917,S,1.0,1,True,False,False,False,True,False,False,False,True
5,0,1.0,Mr. George Moore,male,4.4,0.0,0.0,388080,69.16345,C,1.0,1,True,False,False,False,False,False,True,False,True
6,0,2.0,Mr. James Brown,male,31.4,1.0,0.0,167306,2.7998,S,2.0,0,False,False,False,True,True,False,False,True,False
7,0,3.0,Mr. John Smith,male,7.6,0.0,0.0,219957,6.0444,S,1.0,1,True,False,False,False,False,True,False,False,True
8,1,1.0,Mr. William Davis,male,13.3,0.0,0.0,76538,2.199,S,1.0,1,False,False,True,False,True,False,False,False,True
9,0,1.0,Mr. Charles Wilson,male,26.4,0.0,0.0,114570,21.0626,S,1.0,1,False,False,False,True,False,False,False,False,True
10,1,1.0,Mrs. Patricia Taylor,female,0.4,2.5,0.0,697933,69.16345,S,3.5,0,True,False,False,False,False,False,True,False,False
11,0,1.0,Mr. George Moore,male,41.0,0.0,0.0,889771,18.8675,Q,1.0,1,False,False,False,False,False,False,False,False,True
12,1,1.0,Miss. Mary Johnson,female,0.4,2.0,0.0,272025,7.0098,S,3.0,0,True,False,False,False,False,True,False,True,False
13,1,3.0,Mr. George Moore,male,28.6,0.0,0.0,393276,8.3631,S,1.0,1,False,False,False,True,False,True,False,False,True
14,0,2.0,Mr. Charles Wilson,male,29.9,0.0,0.0,205392,0.2004,S,1.0,1,False,False,False,True,True,False,False,False,True
15,0,3.0,Miss. Linda Anderson,female,37.5,0.0,0.0,138993,1.1515,S,1.0,1,False,False,False,False,True,False,False,False,True
16,0,3.0,Mr. Charles Wilson,male,29.1,0.0,0.0,807762,21.4281,S,1.0,1,False,False,False,True,False,False,False,False,True
17,0,2.0,Mr. George Moore,male,59.0,0.0,0.0,233112,29.522,S,1.0,1,False,False,False,False,False,False,False,False,True
18,0,2.0,Mr. George Moore,male,32.8,0.0,0.0,221588,49.3348,S,1.0,1,False,False,False,True,False,False,True,False,True
19,0,2.0,Mrs. Barbara Thomas,female,45.0,1.0,0.0,868985,38.5537,C,2.0,0,False,False,False,False,False,False,True,True,False
20,0,3.0,Mrs. Barbara Thomas,female,19.2,1.0,0.0,706713,14.9423,S,2.0,0,False,False,False,True,False,False,False,True,False
21,0,2.0,Mr. Charles Wilson,male,29.2,1.0,0.0,157083,1.075,S,2.0,0,False,False,False,True,True,False,False,True,False
22,0,3.0,Mr. John Smith,male,52.1,0.0,0.0,93537,19.8531,S,1.0,1,False,False,False,False,False,False,False,False,True
23,0,2.0,Mr. George Moore,male,26.3,0.0,0.0,595273,37.3526,S,1.0,1,False,False,False,True,False,False,True,False,True
24,0,3.0,Mrs. Patricia Taylor,female,32.5,0.0,0.0,551332,20.8632,C,1.0,1,False,False,False,True,False,False,False,False,True
25,0,2.0,Miss. Mary Johnson,female,25.7,1.0,0.0,441508,14.205,Q,2.0,0,False,False,False,True,False,False,False,True,False
26,1,2.0,Mr. John Smith,male,18.9,2.0,0.0,656592,5.3028,S,3.0,0,False,False,False,True,True,False,False,True,False
27,0,3.0,Mr. John Smith,male,0.4,0.0,0.0,146322,24.264,C,1.0,1,True,False,False,False,False,False,False,False,True
28,0,3.0,Mr. James Brown,male,31.9,0.0,0.0,268116,16.8854,C,1.0,1,False,False,False,True,False,False,False,False,True
29,0,1.0,Mrs. Barbara Thomas,female,44.0,0.0,0.0,819721,69.16345,Q,1.0,1,False,False,False,False,False,False,True,False,True
30,0,3.0,Miss. Susan Jackson,female,10.1,0.0,0.0,43087,2.2001,S,1.0,1,True,False,False,False,True,False,False,False,True
31,0,3.0,Mr. William Davis,male,39.4,0.0,0.0,85952,3.3248,S,1.0,1,False,False,False,False,True,False,False,False,True
32,0,3.0,Mr. William Davis,male,39.5,0.0,0.0,756055,3.094,S,1.0,1,False,False,False,False,True,False,False,False,True
33,0,3.0,Mr. George Moore,male,23.3,1.0,0.0,46368,20.4466,C,2.0,0,False,False,False,True,False,False,False,True,False
34,1,2.0,Mrs. Patricia Taylor,female,16.1,0.0,0.0,654936,4.1382,S,1.0,1,False,False,True,False,True,False,False,False,True
35,1,1.0,Mr. William Davis,male,31.1,0.0,0.0,867247,5.7948,S,1.0,1,False,False,False,True,False,True,False,False,True
36,1,2.0,Miss. Mary Johnson,female,27.1,2.5,0.0,100693,69.16345,S,3.5,0,False,False,False,True,False,False,True,False,False
37,0,3.0,Mr. William Davis,male,18.9,0.0,0.0,464256,0.3267,S,1.0,1,False,False,False,True,True,False,False,False,True
38,0,3.0,Mr. George Moore,male,18.1,0.0,0.0,593188,23.4428,S,1.0,1,False,False,False,True,False,False,False,False,True
39,1,2.0,Mr. John Smith,male,20.6,0.0,0.0,811926,9.0942,C,1.0,1,False,False,False,True,False,True,False,False,True
40,0,1.0,Mr. William Davis,male,28.1,0.0,0.0,388630,69.16345,S,1.0,1,False,False,False,True,False,False,True,False,True
41,0,3.0,Mr. George Moore,male,19.6,0.0,0.0,710526,10.5148,C,1.0,1,False,False,False,True,False,True,False,False,True
42,0,3.0,Mrs. Patricia Taylor,female,29.1,1.0,0.0,232182,30.1474,S,2.0,0,False,False,False,True,False,False,False,True,False
43,0,3.0,Mr. George Moore,male,37.5,0.0,0.0,166405,33.8819,S,1.0,1,False,False,False,False,False,False,True,False,True
